image_path,p0,p1,p2
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\145543626_2.jpg,0.011034135706722736,0.13383381068706512,0.855131983757019
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\145954293_2.jpg,0.9967922568321228,0.0026951904874294996,0.0005124608287587762
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146467290_2.jpg,0.9922093152999878,0.004509971011430025,0.0032807139214128256
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146472395_2.jpg,0.9969965219497681,0.0018372535705566406,0.0011663208715617657
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146577367_2.jpg,0.9993728995323181,0.00033564638579264283,0.000291520613245666
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146774751_2.jpg,0.9934831261634827,0.005300319753587246,0.001216581091284752
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146855657_2.jpg,0.9999750852584839,1.6238032912951894e-05,8.655882083985489e-06
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\147070783_2.jpg,0.9999300241470337,4.8369780415669084e-05,2.15928321267711e-05
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\147583250_2.jpg,0.9999725818634033,2.63176771113649e-05,1.0190855164182722e-06
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\148950172_2.jpg,0.9701138138771057,0.016991695389151573,0.01289442740380764
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\149801210_2.jpg,0.9999852180480957,1.3977908565721009e-05,7.884751198616868e-07
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\150341314_2.jpg,0.999395489692688,0.00037391987279988825,0.0002305092930328101
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\150601970_2.jpg,0.9999803304672241,1.2857024557888508e-05,6.8053145696467254e-06
