image_path,p0,p2
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\145543626_2.jpg,0.5801705121994019,0.41982948780059814
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\145954293_2.jpg,0.9037330150604248,0.09626694768667221
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146467290_2.jpg,0.9624277949333191,0.03757219389081001
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146472395_2.jpg,0.9691202640533447,0.030879750847816467
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146577367_2.jpg,0.7992677688598633,0.20073215663433075
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146774751_2.jpg,0.9448050260543823,0.055194973945617676
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146855657_2.jpg,0.992685079574585,0.0073148589581251144
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\147070783_2.jpg,0.9852369427680969,0.014762988314032555
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\147583250_2.jpg,0.9896122813224792,0.010387741029262543
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\148950172_2.jpg,0.8773592114448547,0.12264077365398407
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\149801210_2.jpg,0.9974827170372009,0.0025172997266054153
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\150341314_2.jpg,0.995373547077179,0.004626436624675989
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\150601970_2.jpg,0.9827934503555298,0.017206575721502304
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\151288099_2.jpg,0.9813981652259827,0.01860176771879196
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152187796_2.jpg,0.06984173506498337,0.930158257484436
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152189508_2.jpg,0.996828019618988,0.0031719831749796867
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152278101_2.jpg,0.9914388656616211,0.00856111105531454
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152352374_2.jpg,0.9896411299705505,0.010358864441514015
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152353108_2.jpg,0.9957767128944397,0.004223335534334183
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\153365974_2.jpg,0.0037868625950068235,0.9962131977081299
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\153622224_2.jpg,0.9264107942581177,0.07358917593955994
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\153680303_2.jpg,0.006184933707118034,0.9938150644302368
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\153680360_2.jpg,0.9606011509895325,0.03939889743924141
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\154298824_2.jpg,0.9619126915931702,0.03808723762631416
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\154299542_2.jpg,0.8317969441413879,0.16820310056209564
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\155697434_2.jpg,0.9789617657661438,0.021038180217146873
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\156058783_2.jpg,0.9998815059661865,0.0001185146247735247
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\156471490_2.jpg,0.7349573969841003,0.26504260301589966
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\156961440_2.jpg,0.9964088797569275,0.0035911276936531067
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\157036927_2.jpg,0.9986501336097717,0.0013499143533408642
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\157191761_2.jpg,0.9876370429992676,0.01236290019005537
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\157244028_2.jpg,0.7669116854667664,0.23308834433555603
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\157245576_2.jpg,0.9811751246452332,0.01882481761276722
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\157803731_2.jpg,0.999924898147583,7.506043766625226e-05
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\158134294_2.jpg,0.9988549947738647,0.0011450235033407807
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\159134560_2.jpg,0.3347364664077759,0.6652634739875793
