image_path,label,weight,source
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\149801210_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\150341314_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\150601970_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152352374_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\153622224_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\153680360_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\154298824_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\155697434_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\160377560_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\160462071_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\160463804_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\160464696_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\160465075_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\160868773_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\161384489_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\162160428_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\162363988_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\163335645_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\163521437_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\163933718_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\166876095_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\166876328_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\167632143_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\167722482_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\168458691_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\168833624_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\169947660_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\170672848_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\171599664_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\172363146_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\173225691_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\173228722_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\173325513_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\173412563_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\173412621_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\173413533_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\173414043_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\173414277_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\173958964_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\174137290_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\174387970_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\175959256_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\175959459_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\176514722_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\176521219_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\176851659_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\178718465_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\179703615_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\179888602_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\181059371_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\181437443_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\181580160_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\181642864_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\181648548_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\182197842_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\182400975_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\185453313_2.jpg,0,1.0,seed
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\185640173_2.jpg,0,1.0,seed
