image_path,p0,p1,p2,pred_label
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\145543626_2.jpg,0.022689970210194588,0.4853675365447998,0.4919424057006836,2
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\145954293_2.jpg,0.8574939966201782,0.13246691226959229,0.010039135813713074,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146467290_2.jpg,0.996069073677063,0.0032835814636200666,0.0006473878165706992,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146472395_2.jpg,0.9935634136199951,0.006116054952144623,0.0003205008106306195,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146577367_2.jpg,0.993179440498352,0.005093486979603767,0.001727075781673193,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146774751_2.jpg,0.9875734448432922,0.010082075372338295,0.002344439970329404,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\146855657_2.jpg,0.9999982118606567,1.4670912378278445e-06,3.189647941326257e-07,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\147070783_2.jpg,0.9990418553352356,0.0006561943446286023,0.0003019455471076071,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\147583250_2.jpg,0.9990159273147583,0.0009322487749159336,5.182361201150343e-05,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\148950172_2.jpg,0.9324588775634766,0.0632498562335968,0.0042912596836686134,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\149801210_2.jpg,0.999998927116394,7.900749210421054e-07,2.1097969238326186e-07,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\150341314_2.jpg,0.9909712076187134,0.008583328686654568,0.0004455223388504237,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\150601970_2.jpg,0.9999983310699463,1.1225422440475086e-06,6.407847763512109e-07,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\151288099_2.jpg,0.4090626835823059,0.4354078769683838,0.15552948415279388,1
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152187796_2.jpg,0.0013358438154682517,0.014826064929366112,0.9838380813598633,2
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152189508_2.jpg,0.9999998807907104,6.400122742888925e-08,2.9884954955150533e-08,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152278101_2.jpg,0.9997970461845398,0.0001791551912901923,2.3886081180535257e-05,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152352374_2.jpg,0.42092621326446533,0.08307437598705292,0.49599942564964294,2
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\152353108_2.jpg,0.9982777833938599,0.0015585370128974319,0.00016364782641176134,0
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\153365974_2.jpg,1.0485577149665914e-05,0.00020544500148389488,0.9997840523719788,2
C:\Users\holyb\OneDrive\Desktop\shoe_wear_project\data\images\train\153622224_2.jpg,0.9995821118354797,0.00040591511060483754,1.1989316590188537e-05,0
